ZONA,FECHA,HORA,ID_QUEJA,LATITUD,GRAVEDAD,LONGITUD,DELITO,TIPO_LUGAR
MANHATTAN,2025-05-29,05:04:00,307197903,40.709937,FELONY,-74.008982,BURGLARY,DRUG STORE
MANHATTAN,2025-01-07,20:49:00,299070650,40.7393804677,FELONY,-74.00967822124,FELONY ASSAULT,TAXI (YELLOW LICENSED)
MANHATTAN,2025-02-23,02:56:00,301585942,40.747623,FELONY,-74.00607,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-04-10,12:40:00,304825430,40.715063,FELONY,-74.006718,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-04-08,11:25:00,304451220,40.709489,FELONY,-74.007432,FELONY ASSAULT,STREET
MANHATTAN,2025-07-25,01:45:00,310195407,40.729091,FELONY,-74.004477,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-02-04,12:15:00,300533043,40.722331,FELONY,-74.004806,ROBBERY,STREET
MANHATTAN,2025-05-28,17:22:00,307187256,40.71946,FELONY,-74.006874,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-08-22,22:45:00,311713191,40.737554,FELONY,-74.004349,FELONY ASSAULT,BAR/NIGHT CLUB
MANHATTAN,2025-06-20,19:55:00,308405143,40.72055728,FELONY,-74.00351016,FELONY ASSAULT,STREET
MANHATTAN,2025-05-18,08:10:00,306624652,40.71153483,FELONY,-74.01046412,FELONY ASSAULT,TRANSIT - NYC SUBWAY
MANHATTAN,2025-05-29,14:10:00,307229970,40.738145,FELONY,-74.004885,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-08-28,14:45:00,312035599,40.71592,FELONY,-74.010105,ROBBERY,STREET
MANHATTAN,2025-07-19,18:08:00,309863409,40.73938044,FELONY,-74.00994164,ROBBERY,PARK/PLAYGROUND
MANHATTAN,2025-07-20,20:00:00,309941307,40.731316,FELONY,-74.006682,FELONY ASSAULT,STREET
MANHATTAN,2025-07-28,22:35:00,310350802,40.72055728,FELONY,-74.00351016,FELONY ASSAULT,STREET
MANHATTAN,2025-05-26,15:30:00,307282882,40.75296,FELONY,-74.00405,BURGLARY,RESIDENCE-HOUSE
MANHATTAN,2025-07-08,16:00:00,309269189,40.734099,FELONY,-74.006239,FELONY ASSAULT,STREET
MANHATTAN,2025-03-05,01:12:00,302104074,40.705025,FELONY,-74.005084,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-02-08,18:05:00,306859686,40.71032722,FELONY,-74.00954415,FELONY ASSAULT,TRANSIT - NYC SUBWAY
MANHATTAN,2025-08-10,09:24:00,310976065,40.707547,FELONY,-74.013778,ROBBERY,CHAIN STORE
MANHATTAN,2025-08-16,02:45:00,311866529,40.710913,FELONY,-74.006929,FELONY ASSAULT,HOTEL/MOTEL
MANHATTAN,2025-01-04,00:49:00,298869096,40.741214,FELONY,-74.00811,FELONY ASSAULT,BAR/NIGHT CLUB
MANHATTAN,2025-08-08,23:45:00,310927508,40.711462,FELONY,-74.006166,FELONY ASSAULT,STREET
MANHATTAN,2025-06-21,07:00:00,308433664,40.708667,FELONY,-74.005034,FELONY ASSAULT,STREET
MANHATTAN,2025-07-22,16:10:00,310079300,40.729892,FELONY,-74.004931,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-02-13,03:15:00,301027889,40.727973,FELONY,-74.006316,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-03-29,19:00:00,303851073,40.743164,FELONY,-74.003757,FELONY ASSAULT,RESIDENCE - PUBLIC HOUSING
MANHATTAN,2025-09-30,00:20:00,313655674,40.73940539,FELONY,-74.00644854,ROBBERY,STREET
MANHATTAN,2025-08-06,23:00:00,310810850,40.70638025,FELONY,-74.00950391,ROBBERY,TRANSIT - NYC SUBWAY
MANHATTAN,2025-07-06,01:50:00,309118771,40.730688,FELONY,-74.003562,FELONY ASSAULT,OTHER
MANHATTAN,2025-06-28,15:00:00,308793238,40.711466,FELONY,-74.012218,ROBBERY,COMMERCIAL BUILDING
MANHATTAN,2025-05-01,16:56:00,305687360,40.702484,FELONY,-74.008547,FELONY ASSAULT,MARINA/PIER
MANHATTAN,2025-09-06,03:30:00,312450656,40.729478,FELONY,-74.010637,FELONY ASSAULT,PARK/PLAYGROUND
